IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.154.41.67,443,true,FRA,Europe,Frankfurt,235 ms,1870 kB/s
141.147.67.22,443,true,FRA,Europe,Frankfurt,267 ms,1839 kB/s
34.116.167.166,443,true,FRA,Europe,Frankfurt,247 ms,1836 kB/s
152.70.191.139,443,true,FRA,Europe,Frankfurt,273 ms,1809 kB/s
150.230.22.59,443,true,FRA,Europe,Frankfurt,263 ms,1791 kB/s
152.67.132.143,443,true,FRA,Europe,Frankfurt,278 ms,1772 kB/s
34.118.45.21,443,true,FRA,Europe,Frankfurt,250 ms,1769 kB/s
141.147.101.165,443,true,FRA,Europe,Frankfurt,273 ms,1763 kB/s
34.118.12.209,443,true,FRA,Europe,Frankfurt,256 ms,1759 kB/s
130.162.226.2,443,true,FRA,Europe,Frankfurt,262 ms,1753 kB/s
141.147.69.187,443,true,FRA,Europe,Frankfurt,272 ms,1737 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,233 ms,1731 kB/s
141.147.83.84,443,true,FRA,Europe,Frankfurt,266 ms,1695 kB/s
34.118.64.206,443,true,FRA,Europe,Frankfurt,246 ms,1683 kB/s
150.230.127.232,443,true,FRA,Europe,Frankfurt,274 ms,1679 kB/s
143.47.234.201,443,true,FRA,Europe,Frankfurt,265 ms,1670 kB/s
143.47.246.190,443,true,FRA,Europe,Frankfurt,283 ms,1647 kB/s
141.147.85.235,443,true,FRA,Europe,Frankfurt,266 ms,1644 kB/s
141.147.69.204,443,true,FRA,Europe,Frankfurt,312 ms,1625 kB/s
138.2.154.204,443,true,FRA,Europe,Frankfurt,255 ms,1601 kB/s
143.47.235.158,443,true,FRA,Europe,Frankfurt,265 ms,1593 kB/s
141.147.72.243,443,true,FRA,Europe,Frankfurt,283 ms,1589 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,206 ms,1567 kB/s
141.144.195.193,443,true,FRA,Europe,Frankfurt,272 ms,1542 kB/s
141.144.196.118,443,true,FRA,Europe,Frankfurt,276 ms,1523 kB/s
143.47.228.46,443,true,FRA,Europe,Frankfurt,256 ms,1503 kB/s
141.147.108.46,443,true,FRA,Europe,Frankfurt,257 ms,1487 kB/s
34.154.113.6,443,true,FRA,Europe,Frankfurt,232 ms,1481 kB/s
141.147.118.100,443,true,FRA,Europe,Frankfurt,256 ms,1465 kB/s
132.226.130.106,443,true,FRA,Europe,Frankfurt,271 ms,1462 kB/s
141.147.87.123,443,true,FRA,Europe,Frankfurt,273 ms,1460 kB/s
141.147.118.49,443,true,FRA,Europe,Frankfurt,268 ms,1460 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,272 ms,1440 kB/s
144.21.32.245,443,true,FRA,Europe,Frankfurt,264 ms,1433 kB/s
84.235.173.87,443,true,FRA,Europe,Frankfurt,265 ms,1430 kB/s
143.47.227.61,443,true,FRA,Europe,Frankfurt,263 ms,1416 kB/s
144.21.42.203,443,true,FRA,Europe,Frankfurt,276 ms,1401 kB/s
152.70.52.28,443,true,FRA,Europe,Frankfurt,265 ms,1388 kB/s
141.147.77.198,443,true,FRA,Europe,Frankfurt,274 ms,1363 kB/s
84.235.163.180,443,true,FRA,Europe,Frankfurt,262 ms,1356 kB/s
144.21.42.137,443,true,FRA,Europe,Frankfurt,267 ms,1335 kB/s
34.159.84.211,443,true,FRA,Europe,Frankfurt,240 ms,1331 kB/s
141.147.119.191,443,true,FRA,Europe,Frankfurt,252 ms,1299 kB/s
143.47.181.151,443,true,FRA,Europe,Frankfurt,280 ms,1280 kB/s
143.47.228.122,443,true,FRA,Europe,Frankfurt,264 ms,1279 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,346 ms,1196 kB/s
141.147.67.36,443,true,FRA,Europe,Frankfurt,268 ms,1196 kB/s
84.8.149.242,443,true,FRA,Europe,Frankfurt,268 ms,1187 kB/s
143.47.184.95,443,true,FRA,Europe,Frankfurt,272 ms,1171 kB/s
152.70.49.218,443,true,FRA,Europe,Frankfurt,280 ms,1171 kB/s
34.116.221.87,443,true,FRA,Europe,Frankfurt,271 ms,1136 kB/s
141.148.233.18,443,true,FRA,Europe,Frankfurt,268 ms,1119 kB/s
140.238.82.242,443,true,FRA,Europe,Frankfurt,259 ms,1107 kB/s
158.180.239.249,2095,true,CDG,Europe,Paris,257 ms,1107 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,271 ms,1084 kB/s
89.168.118.76,443,true,FRA,Europe,Frankfurt,258 ms,1062 kB/s
158.180.21.35,443,true,FRA,Europe,Frankfurt,268 ms,1044 kB/s
168.138.88.116,8443,true,YYZ,North America,Toronto,275 ms,1020 kB/s
152.67.78.164,8443,true,MXP,Europe,Milan,261 ms,972 kB/s
158.180.63.204,443,true,FRA,Europe,Frankfurt,271 ms,912 kB/s
144.21.55.93,443,true,FRA,Europe,Frankfurt,275 ms,889 kB/s
35.229.161.32,443,true,TPE,Asia Pacific,Taipei,76 ms,876 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,237 ms,720 kB/s
141.147.80.39,443,true,FRA,Europe,Frankfurt,263 ms,710 kB/s
144.21.53.166,443,true,FRA,Europe,Frankfurt,273 ms,617 kB/s
141.147.12.119,443,true,FRA,Europe,Frankfurt,265 ms,595 kB/s
84.235.169.62,443,true,FRA,Europe,Frankfurt,275 ms,591 kB/s
152.70.234.188,443,true,NRT,Asia Pacific,Tokyo,82 ms,540 kB/s
158.101.175.51,8443,true,FRA,Europe,Frankfurt,266 ms,521 kB/s
144.21.63.117,443,true,FRA,Europe,Frankfurt,255 ms,486 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,267 ms,409 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,268 ms,342 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,271 ms,326 kB/s
144.21.43.120,443,true,FRA,Europe,Frankfurt,280 ms,237 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,267 ms,227 kB/s
141.144.195.208,443,true,FRA,Europe,Frankfurt,270 ms,160 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,260 ms,153 kB/s
143.47.182.56,8443,true,AMS,Europe,Amsterdam,274 ms,147 kB/s
158.180.48.110,443,true,FRA,Europe,Frankfurt,264 ms,144 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,254 ms,144 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,257 ms,134 kB/s
130.61.109.6,2096,true,FRA,Europe,Frankfurt,250 ms,125 kB/s
144.24.173.250,8443,true,FRA,Europe,Frankfurt,260 ms,115 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,252 ms,115 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,258 ms,96 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,264 ms,89 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,268 ms,86 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,264 ms,83 kB/s
130.61.109.6,8443,true,FRA,Europe,Frankfurt,254 ms,80 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,258 ms,80 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,251 ms,77 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,277 ms,73 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,273 ms,64 kB/s
144.24.173.250,2096,true,FRA,Europe,Frankfurt,252 ms,64 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,322 ms,57 kB/s
129.159.197.137,8443,true,FRA,Europe,Frankfurt,273 ms,54 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,270 ms,48 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,259 ms,48 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,272 ms,45 kB/s
141.148.225.142,443,true,AMS,Europe,Amsterdam,269 ms,42 kB/s
143.47.182.56,2053,true,AMS,Europe,Amsterdam,276 ms,41 kB/s
150.230.249.48,443,true,ICN,Asia Pacific,Seoul,154 ms,30 kB/s
130.162.140.215,443,true,NRT,Asia Pacific,Tokyo,85 ms,0 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,245 ms,0 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,275 ms,0 kB/s
132.226.7.217,443,true,NRT,Asia Pacific,Tokyo,148 ms,0 kB/s
141.147.100.100,443,true,FRA,Europe,Frankfurt,269 ms,0 kB/s
193.123.235.59,443,true,NRT,Asia Pacific,Tokyo,67 ms,0 kB/s
34.82.188.91,443,true,SEA,North America,Seattle,212 ms,0 kB/s
192.9.158.62,443,true,SJC,North America,San Jose,192 ms,0 kB/s
168.138.212.87,443,true,NRT,Asia Pacific,Tokyo,148 ms,0 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,246 ms,0 kB/s
143.47.231.80,443,true,FRA,Europe,Frankfurt,263 ms,0 kB/s
141.147.102.49,443,true,FRA,Europe,Frankfurt,270 ms,0 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,263 ms,0 kB/s
192.18.134.231,443,true,SJC,North America,San Jose,182 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,233 ms,0 kB/s
193.122.101.195,443,true,NRT,Asia Pacific,Tokyo,69 ms,0 kB/s
140.238.83.97,443,true,FRA,Europe,Frankfurt,298 ms,0 kB/s
131.186.28.236,443,true,NRT,Asia Pacific,Tokyo,82 ms,0 kB/s
132.226.210.59,443,true,LHR,Europe,London,254 ms,0 kB/s
141.147.119.80,443,true,FRA,Europe,Frankfurt,260 ms,0 kB/s
129.146.7.98,443,true,LAX,North America,Los Angeles,250 ms,0 kB/s
129.154.60.48,443,true,ICN,Asia Pacific,Seoul,137 ms,0 kB/s
138.2.150.103,443,true,FRA,Europe,Frankfurt,262 ms,0 kB/s
138.3.222.135,443,true,NRT,Asia Pacific,Tokyo,178 ms,0 kB/s
